executionIndex,observationId,conditionId,tokenId,decisionAtIso,eventStartIso,resolvedAtIso,sport,league,competition,eventTitle,marketTitle,marketFamily,selection,signalScore,entryPrice,result,sourceIdentity,sourceVersion,historicalDerivedMatchKey,identityConfidence,fixedStake,fixedTerminalReason,fixedRealizedPnl,dynamicStake,dynamicTerminalReason,dynamicRealizedPnl
"107","6776a92e-0298-43d2-99fe-00ced5b2d64d","0x9689c781c9967fde005c3887e111340df1e0870637a616e6dc50d170828ab3cb","49178171100971453740556254334089065337782273861010205847791661874722990705747","2026-06-08T21:05:00.000Z","2026-06-08T22:35:00.000Z","2026-06-19T00:02:32.63+00:00","","","","Seattle Mariners vs. Baltimore Orioles","$8K matched activity","","Baltimore Orioles","72","0.465","loss","trusted-initial-formula-v1.1","v2-lite-growth-safe","","","1","EXECUTED_FULL","-1","1.37733056","EXECUTED_FULL","-1.37733056"
"108","8853cadd-1f9b-47b0-ab4a-fe88c5e037fc","0xcaf94cace6684a017c4379d4cbe34b5d433946b6c8b4118fd095dc63aa828dca","90512487811608872990794671068466807713338232913475130527880336549515200445183","2026-06-08T21:10:00.000Z","2026-06-08T22:40:00.000Z","2026-06-18T20:37:17.943+00:00","","","","Boston Red Sox vs. Tampa Bay Rays: O/U 7.5","$760 matched activity","","Under","67","0.475","win","trusted-initial-formula-v1.1","v2-lite-growth-safe","","","1","EXECUTED_FULL","1.10526316","1.37733056","EXECUTED_FULL","1.52231272"
"109","09cbbcca-71c8-4758-a495-19340f161a4c","0x31c799bd281ced22395c6ad9131948ef5f789dab77b5c9c545dae595da74ff1b","47322384300118403659601896627934362158608320835923501645972242384324051968411","2026-06-08T21:30:00.000Z","2026-06-08T23:00:00.000Z","2026-06-19T00:02:32.098+00:00","","","","Indiana Fever vs. Washington Mystics","$30K matched activity","","Washington Mystics","66","0.335","loss","trusted-initial-formula-v1.1","v2-lite-growth-safe","","","1","EXECUTED_FULL","-1","1.37733056","EXECUTED_FULL","-1.37733056"
"110","5b4844d0-3082-4ae8-85df-867e9171967f","0x5d4c5252dfbf6202ec5e71f521052c4a23aa8d07bfe5c09a5ef7126907e185df","5936492228611297258589210939428413800258257995956940077220564387785683998460","2026-06-08T21:37:00.000Z","2026-06-08T23:07:00.000Z","2026-06-09T12:05:26.853+00:00","","","","Philadelphia Phillies vs. Toronto Blue Jays","$21K matched activity","","Toronto Blue Jays","71","0.385","loss","trusted-initial-formula-v1.1","v2-lite-growth-safe","","","1","EXECUTED_FULL","-1","1.37733056","EXECUTED_FULL","-1.37733056"
"111","b4cecbf9-4985-4779-9a24-4cb1319e5d6f","0x0923f4cd56ffdd032deca9984f9779303b58c6ef9317c0c6490acccb477ba150","103146822800955228694960469584465618974402104793575818808187047895725122181216","2026-06-08T23:00:00.000Z","2026-06-09T00:30:00Z","2026-06-09T06:01:44.254+00:00","","","","Spurs vs. Knicks","$22K matched activity","","Spurs","70","0.465","win","trusted-initial-formula-v1.1","v2-lite-growth-safe","","","1","EXECUTED_FULL","1.15053763","1.37733056","EXECUTED_FULL","1.58467064"
"112","1be4de17-e97a-4e9a-b9c2-10b5105ceb72","0x64739195110169341a575b300adc3e45e88f4184ad535d59511cd81452585d42","6725863250727498012049060111948255980347217510849583507915230523034408272356","2026-06-09T00:08:00.000Z","2026-06-09T01:38:00.000Z","2026-06-09T06:01:37.386+00:00","","","","Houston Astros vs. Los Angeles Angels: O/U 9.5","$36K matched activity","","Over","77","0.475","loss","trusted-initial-formula-v1.1","v2-lite-growth-safe","","","1","EXECUTED_FULL","-1","1.37733056","EXECUTED_FULL","-1.37733056"
"113","08db094f-deda-4eec-bec3-9ca5c82abab3","0x867d356663531b8c39ac4452bf981e3a8dc933d16a5d96006b7a02817220cb79","80148634832295003578658272576581985114773312298104292733975708193216109169590","2026-06-09T00:10:00.000Z","2026-06-09T01:40:00.000Z","2026-06-09T06:01:37.754+00:00","","","","Cincinnati Reds vs. San Diego Padres","$9K matched activity","","Cincinnati Reds","68","0.435","loss","trusted-initial-formula-v1.1","v2-lite-growth-safe","","","1","EXECUTED_FULL","-1","1.37733056","EXECUTED_FULL","-1.37733056"
"114","cf297397-3d05-4a28-814d-ceabffc106e7","0x20648354392bfbc60f7bb662d395947658d4aee1b7b920b4a7a324132f900c25","96147143380767219830081413907084703856596260307081486872199752626743589836780","2026-06-09T00:15:00.000Z","2026-06-09T01:45:00.000Z","2026-06-09T06:01:38.092+00:00","","","","Washington Nationals vs. San Francisco Giants","$10K matched activity","","Washington Nationals","75","0.415","win","trusted-initial-formula-v1.1","v2-lite-growth-safe","","","1","EXECUTED_FULL","1.40963855","1.37733056","EXECUTED_FULL","1.94153826"
"115","963f21eb-244d-4697-be64-d7216dddff8b","0x0837b939fdfe8a75ee9795d59961ef46e8d5380c9f0bbd9f81252d543ec14777","33146230452004439626239715558015374264618626229770098936632892524287332545198","2026-06-09T00:35:00.000Z","2026-06-09T02:05:00.000Z","2026-06-09T12:05:11.876+00:00","","","","Milwaukee Brewers vs. Athletics","$7K matched activity","","Athletics","68","0.425","loss","trusted-initial-formula-v1.1","v2-lite-growth-safe","","","1","EXECUTED_FULL","-1","1.37733056","EXECUTED_FULL","-1.37733056"
"116","886ee740-e387-4e96-b14c-eb2de92ad98b","0x02e98ee896244bbee2943f175185f38830e39bca94f6134f73dc34f2fc43f710","47092065389944293255417288721616277517041886329934541067935862656931342754749","2026-06-09T13:00:00.000Z","2026-06-09T14:30:00.000Z","2026-06-10T00:03:23.287+00:00","","","","Map Handicap: LGC (-1.5) vs TYLOO (+1.5)","$47K matched activity","","Legacy","72","0.455","win","trusted-initial-formula-v1.1","v2-lite-growth-safe","","","1","EXECUTED_FULL","1.1978022","1.37733056","EXECUTED_FULL","1.64976957"
