profile,segment,decisionCount,executedCount,wins,losses,stake,pnl,maximumSinglePositionContribution,roiPct,pnlSharePct,averageContribution
"FIXED","historical:v1:adc6e28fb573af2be7b07b52c1f2ff7c8757b6263eb9a1cf64d1db11429a0693","1","1","1","0","1","2.07692308","2.07692308","207.692308","5.59436885","2.07692308"
"FIXED","historical:v1:03342348491569658e5505ecd07932324c855482d95ff73a3da4fdb9482a4532","1","1","1","0","1","1.98507463","1.98507463","198.507463","5.34696724","1.98507463"
"FIXED","historical:v1:a70738f73dd4554b3ff30bf2c0f2269d23002f173a3ab4caf313c43b23e4d5c4","1","1","1","0","1","1.98507463","1.98507463","198.507463","5.34696724","1.98507463"
"FIXED","historical:v1:78be4fad8b10621ff83dacbe8085a771ff0724460cc213fd455c82d873f5d51d","1","1","1","0","1","1.89855072","1.89855072","189.855072","5.11390773","1.89855072"
"FIXED","historical:v1:ad30c60e3bed9451cfd9a1bac959fe8b5b758c466ee2c4f1fc8877e8421e9f35","1","1","1","0","1","1.89855072","1.89855072","189.855072","5.11390773","1.89855072"
"FIXED","historical:v1:8bcf75066c3aa8cb985a7563cc795c9466c90cda606441b78589f802354c5eba","1","1","1","0","1","1.81690141","1.81690141","181.690141","4.89397838","1.81690141"
"FIXED","historical:v1:ce3d20f73ea57898378e32fafa0fb2976ee78a3503ac5ca381f37c1d1da62d0c","1","1","1","0","1","1.81690141","1.81690141","181.690141","4.89397838","1.81690141"
"FIXED","historical:v1:6705ed8a9923ffd05f830978dac4d2192a2ae110726da4f1619a5abf1f74ce8e","1","1","1","0","1","1.66666667","1.66666667","166.666667","4.48930834","1.66666667"
"FIXED","historical:v1:2b12427a8c6987aa222ca683a9352f38330f65566995bca87cbef7f0a2b4e83f","1","1","1","0","1","1.5974026","1.5974026","159.74026","4.30273968","1.5974026"
"FIXED","historical:v1:2d9dc1a495f96aac5355f85790a711e58379997049f1b0234a4364e1e2482a98","1","1","1","0","1","1.53164557","1.53164557","153.164557","4.12561753","1.53164557"
"FIXED","historical:v1:32517b43089c0321073c9e8b1d8679c7a09870ad09d3cc054ca9164a581ee655","1","1","1","0","1","1.4691358","1.4691358","146.91358","3.95724215","1.4691358"
"FIXED","historical:v1:568fd8dd1e309546e6a6b4df62e50619bdf525c7064708ecea4c75702b2e0976","1","1","1","0","1","1.4691358","1.4691358","146.91358","3.95724215","1.4691358"
"FIXED","historical:v1:8a9f092d8201410789fad3971de152e0bd27f41579b31cc8692d0555d8b75879","1","1","1","0","1","1.4691358","1.4691358","146.91358","3.95724215","1.4691358"
"FIXED","historical:v1:9686be44f4abab3c44e4b3709d9ecc6cc99ba13329151c7627faf5406ce42675","1","1","1","0","1","1.4691358","1.4691358","146.91358","3.95724215","1.4691358"
"FIXED","historical:v1:f15a7af4cc49efa0e11ba9e3483af28d2116838d76b0bcd845b3ef3a76a412b3","1","1","1","0","1","1.4691358","1.4691358","146.91358","3.95724215","1.4691358"
"FIXED","historical:v1:01f1b5e4b3a47d6b03a5b5a7f26cec8d332aaa4e5fec2b2610723d69b27e2517","1","1","1","0","1","1.40963855","1.40963855","140.963855","3.79698125","1.40963855"
"FIXED","historical:v1:3ea2a6cfdadf4c5a90e386f609e6f137d632f155221564f5f882b2c919aab822","1","1","1","0","1","1.40963855","1.40963855","140.963855","3.79698125","1.40963855"
"FIXED","historical:v1:b0c472f7659fb80ebfd275fd2afd90bd23f1fe4ec357013f566c2e3e5282a4fa","1","1","1","0","1","1.38095238","1.38095238","138.095238","3.71971261","1.38095238"
"FIXED","historical:v1:47348dc51c9a9630a17bfe7763b65117849dd3236ae1fd063b0b1f0ab42fc8e3","1","1","1","0","1","1.35294118","1.35294118","135.294118","3.64426206","1.35294118"
"FIXED","historical:v1:49fc6b0f687b91a1a64aa52ea0beb17ab42b2f906612307d832da9735c02514d","1","1","1","0","1","1.35294118","1.35294118","135.294118","3.64426206","1.35294118"
"FIXED","historical:v1:4bb81aa607525a290b4d6e0e8f14e356ceafdb06c5e2a913f822d10723f628d0","1","1","1","0","1","1.35294118","1.35294118","135.294118","3.64426206","1.35294118"
"FIXED","historical:v1:b93196c46ca08c2af3ab87be28e7058dcdae5b818ad3deabdad0f9c0b083ffdf","1","1","1","0","1","1.35294118","1.35294118","135.294118","3.64426206","1.35294118"
"FIXED","historical:v1:f779302b826b9a0f17bdffe031400ecb2fc4f4107e467e14f0aee64ec02b1ba0","1","1","1","0","1","1.35294118","1.35294118","135.294118","3.64426206","1.35294118"
"FIXED","historical:v1:22561cbee801e20533fe2822f2ead7126be7d796ea65c6ed7a258ca49076ad79","1","1","1","0","1","1.29885057","1.29885057","129.885057","3.49856441","1.29885057"
"FIXED","historical:v1:9bf24d0f7996cce9df892c7a3ce3d8bfa37e1f40fdc44c5cffb7c7855825948d","1","1","1","0","1","1.29885057","1.29885057","129.885057","3.49856441","1.29885057"
"FIXED","historical:v1:d2c8370f05abac67e5172450d11b84bf2161d5a2d1ca9b4d4e2c04517105aa01","1","1","1","0","1","1.29885057","1.29885057","129.885057","3.49856441","1.29885057"
