profile,segment,decisionCount,executedCount,wins,losses,stake,pnl,maximumSinglePositionContribution,roiPct,pnlSharePct,averageContribution
"FIXED","MLB","64","64","37","27","64","20.89260208","1.89855072","32.64469075","56.27599949","0.32644691"
"FIXED","ATP ROLAND GARROS","3","3","3","0","3","4.8495435","1.98507463","161.65145","13.06265761","1.6165145"
"FIXED","NBA","4","4","3","1","4","4.32841498","2.07692308","108.2103745","11.65895365","1.08210374"
"FIXED","NHL","4","4","3","1","4","2.59460098","1.4691358","64.8650245","6.98877827","0.64865025"
"FIXED","ESPORTS COMPETITION UNSPECIFIED","1","1","1","0","1","1.98507463","1.98507463","198.507463","5.34696724","1.98507463"
"FIXED","SOCCER COMPETITION UNSPECIFIED","1","1","1","0","1","1.5974026","1.5974026","159.74026","4.30273968","1.5974026"
"FIXED","TENNIS COMPETITION UNSPECIFIED","1","1","1","0","1","1.38095238","1.38095238","138.095238","3.71971261","1.38095238"
"FIXED","UNRESOLVED","1","1","1","0","1","1.29885057","1.29885057","129.885057","3.49856441","1.29885057"
"FIXED","WNBA","4","4","1","3","4","-1.8021978","1.1978022","-45.054945","-4.85437295","-0.45054945"
"DYNAMIC_LEDGER","MLB","64","64","37","27","79.67726792","27.2655893","2.50712358","34.22003542","61.91392836","0.42602483"
"DYNAMIC_LEDGER","ATP ROLAND GARROS","3","3","3","0","3.17180281","5.21687265","2.34163558","164.4765757","11.84632674","1.73895755"
"DYNAMIC_LEDGER","NBA","4","4","3","1","4.5520658","4.61060696","2.93680431","101.28603501","10.46963577","1.15265174"
"DYNAMIC_LEDGER","NHL","4","4","3","1","5.02068529","2.94319757","1.73302334","58.62143114","6.68332973","0.73579939"
"DYNAMIC_LEDGER","ESPORTS COMPETITION UNSPECIFIED","1","1","1","0","1.04293943","2.0703126","2.0703126","198.5074627","4.70120725","2.0703126"
"DYNAMIC_LEDGER","TENNIS COMPETITION UNSPECIFIED","1","1","1","0","1.29927919","1.79424269","1.79424269","138.09523802","4.07431551","1.79424269"
"DYNAMIC_LEDGER","UNRESOLVED","1","1","1","0","1.17962093","1.53215132","1.53215132","129.88505723","3.47916585","1.53215132"
"DYNAMIC_LEDGER","SOCCER COMPETITION UNSPECIFIED","1","1","1","0","0.94924245","1.51632236","1.51632236","159.74026025","3.44322189","1.51632236"
"DYNAMIC_LEDGER","WNBA","4","4","1","3","5.50397628","-2.91140281","1.41295254","-52.8963546","-6.61113109","-0.7278507"
