profile,segment,decisionCount,executedCount,wins,losses,stake,pnl,maximumSinglePositionContribution,roiPct,pnlSharePct,averageContribution
"FIXED","BASEBALL","64","64","37","27","64","20.89260208","1.89855072","32.64469075","56.27599949","0.32644691"
"FIXED","TENNIS","4","4","4","0","4","6.23049588","1.98507463","155.762397","16.78237022","1.55762397"
"FIXED","ICE HOCKEY","4","4","3","1","4","2.59460098","1.4691358","64.8650245","6.98877827","0.64865025"
"FIXED","BASKETBALL","8","8","4","4","8","2.52621718","2.07692308","31.57771475","6.80458069","0.31577715"
"FIXED","ESPORTS","1","1","1","0","1","1.98507463","1.98507463","198.507463","5.34696724","1.98507463"
"FIXED","SOCCER","1","1","1","0","1","1.5974026","1.5974026","159.74026","4.30273968","1.5974026"
"FIXED","UNRESOLVED","1","1","1","0","1","1.29885057","1.29885057","129.885057","3.49856441","1.29885057"
"DYNAMIC_LEDGER","BASEBALL","64","64","37","27","79.67726792","27.2655893","2.50712358","34.22003542","61.91392836","0.42602483"
"DYNAMIC_LEDGER","TENNIS","4","4","4","0","4.471082","7.01111534","2.34163558","156.81026069","15.92064225","1.75277883"
"DYNAMIC_LEDGER","ICE HOCKEY","4","4","3","1","5.02068529","2.94319757","1.73302334","58.62143114","6.68332973","0.73579939"
"DYNAMIC_LEDGER","ESPORTS","1","1","1","0","1.04293943","2.0703126","2.0703126","198.5074627","4.70120725","2.0703126"
"DYNAMIC_LEDGER","BASKETBALL","8","8","4","4","10.05604208","1.69920415","2.93680431","16.89734526","3.85850468","0.21240052"
"DYNAMIC_LEDGER","UNRESOLVED","1","1","1","0","1.17962093","1.53215132","1.53215132","129.88505723","3.47916585","1.53215132"
"DYNAMIC_LEDGER","SOCCER","1","1","1","0","0.94924245","1.51632236","1.51632236","159.74026025","3.44322189","1.51632236"
